"model";"dataset";"task";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"HateCheck"
"E5";"base";"hatespeech";0,806;0,806;0,806;0,806;0,451;"NaN";
;;"gender";0,911;0,865;0,848;0,883;0,798;0,903;0,967
;;"sexuality";0,948;0,831;0,886;0,783;0,801;0,882;0,547
;;"age";0,986;0,559;0,612;0,515;0,552;0,755;
;;"religion";0,963;0,873;0,866;0,880;0,852;0,929;0,915
;;"contains_hate";0,950;0,974;0,952;0,998;0,062;0,517;
;;"origin";0,922;0,761;0,719;0,808;0,715;0,875;0,896
;;"race";0,916;0,833;0,868;0,801;0,777;0,879;0,959
;;"disability";0,988;0,727;0,705;0,750;0,721;0,872;0,907
"E5";"base+toxigen";"hatespeech";0,814;0,814;0,814;0,814;0,470;"NaN";
;;"gender";0,907;0,857;0,857;0,858;0,789;0,895;0,969
;;"sexuality";0,945;0,820;0,877;0,771;0,788;0,875;0,769
;;"age";0,985;0,408;0,652;0,297;0,402;0,647;
;;"religion";0,960;0,861;0,862;0,860;0,838;0,919;0,901
;;"contains_hate";0,950;0,974;0,950;1,000;0,000;0,500;
;;"origin";0,924;0,769;0,724;0,821;0,724;0,882;0,896
;;"race";0,910;0,810;0,902;0,735;0,752;0,854;0,946
;;"disability";0,987;0,710;0,674;0,750;0,703;0,871;0,928
