dataset;model;target;accuracy;f1_score;precision;recall;kappa;roc_auc
LtHate;E5;orientation;0,957;0,956;0,967;0,946;0,913;0,957
;;religion;0,91;0,911;0,899;0,923;0,82;0,91
;;country;0,904;0,901;0,932;0,872;0,808;0,904
;;race;0,929;0,93;0,926;0,934;0,859;0,929
;;politics;0,911;0,912;0,899;0,926;0,822;0,911
;LaBSE;orientation;0,957;0,956;0,967;0,946;0,913;0,957
;;religion;0,926;0,927;0,915;0,94;0,852;0,926
;;country;0,936;0,935;0,946;0,926;0,872;0,936
;;race;0,908;0,908;0,913;0,903;0,817;0,908
;;politics;0,908;0,909;0,898;0,92;0,816;0,908
;LitLatBert;orientation;0,843;0,832;0,889;0,783;0,686;0,843
;;religion;0,656;0,685;0,631;0,749;0,311;0,656
;;country;0,738;0,751;0,718;0,787;0,476;0,738
;;race;0,648;0,674;0,628;0,729;0,295;0,648
;;politics;0,671;0,647;0,697;0,603;0,341;0,671
LtHate+augmented;E5;orientation;0,954;0,955;0,933;0,978;0,908;0,954
;;religion;0,910;0,914;0,875;0,956;0,820;0,910
;;country;0,930;0,933;0,901;0,968;0,861;0,930
;;race;0,917;0,920;0,883;0,961;0,834;0,917
;;politics;0,924;0,926;0,897;0,958;0,848;0,924
;LaBSE;orientation;0,954;0,954;0,956;0,951;0,908;0,954
;;religion;0,913;0,916;0,879;0,956;0,825;0,913
;;country;0,936;0,938;0,918;0,957;0,872;0,936
;;race;0,903;0,904;0,894;0,914;0,806;0,903
;;politics;0,902;0,904;0,882;0,928;0,804;0,902
;LitLatBert;orientation;0,827;0,823;0,837;0,810;0,653;0,827
;;religion;0,650;0,694;0,617;0,792;0,301;0,650
;;country;0,738;0,754;0,714;0,798;0,476;0,738
;;race;0,642;0,681;0,615;0,762;0,284;0,642
;;politics;0,638;0,676;0,611;0,758;0,275;0,638
