;;"Original dataset";;;;;;;"Augmented dataset";;;;;;
"model";"dataset";"target";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"Test set size"
"e5";"country";"Poland";0,857;0,857;0,750;1,000;0,720;0,875;1,000;1,000;1,000;1,000;1,000;1,000;7
;;"Germany";1,000;1,000;1,000;1,000;1,000;1,000;0,333;0,500;0,333;1,000;0,000;0,500;3
;;"UK";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;5
;;"Israel";0,941;0,941;0,889;1,000;0,883;0,944;1,000;1,000;1,000;1,000;1,000;1,000;17
;;"Palestine-region";1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;4
;;"China";0,500;0,667;0,500;1,000;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;2
;;"Russia";0,927;0,926;0,926;0,926;0,854;0,927;0,855;0,862;0,806;0,926;0,710;0,856;55
;;"Lithuania";0,886;0,872;1,000;0,773;0,773;0,886;0,818;0,846;0,733;1,000;0,636;0,818;44
;;"Belorus";0,667;0,750;0,600;1,000;0,333;0,667;0,500;0,667;0,500;1,000;0,000;0,500;6
;;"Ukraine";0,778;0,800;0,667;1,000;0,571;0,800;0,778;0,800;0,667;1,000;0,571;0,800;9
;;"USA";0,848;0,837;0,900;0,783;0,696;0,848;0,870;0,864;0,905;0,826;0,739;0,870;46
;;"Other-Asian";0,750;0,800;0,667;1,000;0,500;0,750;0,750;0,800;0,667;1,000;0,500;0,750;4
;;"UNIVERSAL";1,000;1,000;1,000;1,000;1,000;1,000;0,667;0,750;0,600;1,000;0,333;0,667;6
;;"Other";1,000;1,000;1,000;1,000;1,000;1,000;0,667;0,800;0,667;1,000;0,000;0,500;3
;"race";"English";0,667;0,667;0,500;1,000;0,400;0,750;0,667;0,667;0,500;1,000;0,400;0,750;3
